company_id,company_name,domain,industry,number_of_employees,is_customer,created_date,account_manager,renewal_date,is_key_account
1,Hooli Corp,hoolicorp.com,Robotics,2011,1,2023/12/18,Priya Nair,02/2024,0
2,Summit Technologies,summittechnologies.com,Biotech,3684,True,2021-12-14,Carlos Mendes,04/06/2024,False
3,Lantern Holdings,lanternholdings.com,Technology,3768,False,2021-09-10,Hana Kobayashi,2025-10-07,0
4,Vertex LLC,vertexllc.com,Biotech,832,False,2023-06-06,Carlos Mendes,2026-05-23,True
5,Summit Systems,summitsystems.com,Defense,3791,True,2023-06-27,Priya Nair,2024-01-26,True
6,Anchor Solutions,anchorsolutions.com,R&D,4094,False,05/2021,Hana Kobayashi,2025-12-19,False
7,Duff Co,duffco.com,Insurance,4047,1,2021/03/21,Hana Kobayashi,2024-07-13,False
8,Beacon Corp,beaconcorp.com,Pharmaceuticals,4403,False,14/05/2021,Liam O'Connor,2026-05-17,True
9,Nimbus Global,nimbusglobal.com,Agriculture,1634,0,2023-09-01,Tariq Osei,2024-02-12,False
10,Wonka Industries,wonkaindustries.com,Biotech,4652,True,08/2023,Carlos Mendes,2024-11-16,No
11,Aperture Works,apertureworks.com,R&D,2558,False,09-15-2022,Priya Nair,2025-01-19,True
12,Soylent Industries,soylentindustries.com,Biotech,557,False,2021-09-08,Tariq Osei,2024-09-05,False
13,Wonka Networks,wonkanetworks.com,Energy,1564,No,2022-07-14,Liam O'Connor,2024-11-21,No
14,Nova Group,novagroup.com,Biotech,1574,No,2021-07-06,Carlos Mendes,2024-08-26,True
15,Summit Corp,summitcorp.com,Finance,1941,No,2022-04-28,Priya Nair,2024-07-01,False
16,Vertex Technologies,vertextechnologies.com,Education,3991,Yes,2021-01-19,Priya Nair,2026/06/02,True
17,Umbrella Global,umbrellaglobal.com,Finance,1527,1,04/2023,Carlos Mendes,2026-10-02,False
18,Sirius Inc,siriusinc.com,Healthcare,1960,True,2023-11-10,Priya Nair,2024-08-20,True
19,Summit Inc,summitinc.com,Insurance,2177,Yes,2021-04-12,Tariq Osei,2026-12-10,True
20,Beacon Partners,beaconpartners.com,Pharmaceuticals,1105,True,2023-09-05,Hana Kobayashi,2024/12/11,False
21,Umbrella LLC,umbrellallc.com,Energy,2271,Yes,2021/11/09,Hana Kobayashi,18/07/2026,True
22,Summit Industries,summitindustries.com,Logistics,4776,False,2021-01-10,Priya Nair,22/04/2025,False
