deal_id,deal_name,amount,deal_stage,close_date,company_id,contact_id,is_won,deal_type,region,discount_percentage
1,Meridian Dynamics Renewal,"$48,469",closedlost,2022-06-05,184,126,0,Upsell,LATAM,20
2,Orbit Solutions Licensing Deal,141994.39,closedwon,2021/09/07,288,34,1,New Business,LATAM,25
3,Atlas Labs Support Contract,89084.49,contractsent,2022-02-04,164,102,False,New Business,APAC,0
4,Lantern Holdings Upgrade,62846.75,contractsent,01/11/2022,3,237,1,Renewal,APAC,15%
5,Beacon Dynamics - Q4 Expansion,16308.8,decisionmakerboughtin,2022-11-04,253,314,False,New Business,AMER,0
6,Stellar Technologies Platform Deal,"$117,956",qualifiedtobuy,2023-01-23,224,116,False,New Business,APAC,10
7,Catalyst Co Platform Deal,88035.41,closedwon,2022-02-05,195,139,1,Cross-sell,LATAM,25%
8,Atlas LLC Distribution Agreement,53598.44,decisionmakerboughtin,2021-02-09,296,245,False,Upsell,AMER,25%
9,Umbrella Works - Q2 Expansion,77575.17,contractsent,02/2022,31,109,True,Renewal,LATAM,25%
10,Beacon Labs Consulting,46764.87,contractsent,2022-04-03,67,113,True,New Business,AMER,15
11,Vector Global Distribution Agreement,65289,decisionmakerboughtin,2022-05-04,124,9,No,Cross-sell,APAC,0
12,Lantern Global Licensing Deal,65601.24,qualifiedtobuy,2021-10-09,26,333,False,Upsell,EMEA,5%
13,Stark Ventures Support Contract,61279.35,closedwon,2021-05-08,295,137,1,Upsell,APAC,15%
14,Initech Group Upgrade,72036.99,closedlost,2021-02-06,178,327,0,Upsell,AMER,10
15,Vector Networks Platform Deal,26438.04,closedlost,2022/07/11,171,234,0,New Business,APAC,15
16,Summit Holdings Renewal,15898.88,appointmentscheduled,09-17-2021,127,242,False,Renewal,LATAM,15
17,Wonka Ventures Distribution Agreement,128686.47,decisionmakerboughtin,2022-12-11,132,340,False,Cross-sell,EMEA,10
18,Aperture Works Licensing Deal,146020.3,closedlost,06/2021,11,76,0,New Business,AMER,15
19,Anchor Global Platform Deal,42160,closedlost,2022-06-13,279,231,0,Renewal,EMEA,15
20,Initech Group Renewal,"$84,162",contractsent,2022-11-05,178,148,True,Renewal,EMEA,10%
21,Orbit Systems Renewal,131929.59,contractsent,2022/11/27,145,304,False,Upsell,EMEA,25
22,Fusion Networks Renewal,135720.26,qualifiedtobuy,2021-11-21,101,222,Yes,Renewal,APAC,5
